海華            ,	3694
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,69000,14.50,15.15,14.50,15.05,0.05,47,1024800
104/01/06,130000,14.80,15.05,14.60,14.90,-0.15,72,1914250
104/01/07,49000,14.90,14.90,14.80,14.85,-0.05,27,728450
104/01/08,144000,15.00,15.45,15.00,15.00,0.15,82,2179900
104/01/09,138473,15.05,15.35,15.05,15.10,0.10,76,2101018
104/01/12,100000,14.90,15.10,14.70,14.80,-0.30,55,1482400
104/01/13,77036,15.10,15.10,14.80,14.95,0.15,46,1148036
104/01/14,96000,14.75,14.90,14.70,14.90,-0.05,45,1418850
104/01/15,53000,14.90,15.00,14.75,15.00,0.10,31,789100
104/01/16,107225,15.10,15.10,14.70,14.80,-0.20,57,1586557
104/01/19,40000,14.90,14.90,14.65,14.80,,20,592150
104/01/20,132000,14.85,15.10,14.85,14.90,0.10,61,1974700
104/01/21,306000,15.00,15.55,14.80,15.10,0.20,156,4648100
104/01/22,269000,15.30,15.35,15.00,15.00,-0.10,107,4086850
104/01/23,87000,15.20,15.20,14.95,14.95,-0.05,45,1310000
104/01/26,64000,15.10,15.20,14.85,14.85,-0.10,41,961650
104/01/27,46030,15.00,15.00,14.75,14.75,-0.10,29,683891
104/01/28,331185,14.75,15.65,14.65,15.60,0.85,148,5045867
104/01/29,2028758,15.60,16.25,15.60,15.90,0.30,765,32476075
104/01/30,411500,15.90,15.90,15.35,15.75,-0.15,194,6446300
104/02/02,131000,15.70,15.70,15.40,15.40,-0.35,60,2030800
104/02/03,174000,15.40,15.50,15.00,15.10,-0.30,95,2642100
104/02/04,182560,15.15,15.35,14.90,15.05,-0.05,97,2754194
104/02/05,149100,15.00,15.00,14.80,14.90,-0.15,73,2218790
104/02/06,249000,14.90,15.00,14.25,14.45,-0.45,130,3641200
104/02/09,72700,14.45,14.70,14.20,14.50,0.05,40,1051380
104/02/10,57000,14.70,14.70,14.50,14.50,,45,830150
104/02/11,104767,14.50,14.65,14.50,14.50,,44,1524944
104/02/12,82000,14.60,14.60,14.30,14.35,-0.15,45,1183750
104/02/13,78000,14.45,14.60,14.40,14.40,0.05,48,1128650
104/02/24,142000,14.60,14.60,14.30,14.30,-0.10,47,2051200
104/02/25,178475,14.35,14.80,14.30,14.40,0.10,78,2596791
104/02/26,97000,14.50,14.60,14.40,14.45,0.05,57,1404700
104/03/02,59000,14.50,14.55,14.35,14.55,0.10,29,852350
104/03/03,107000,14.50,14.60,14.40,14.50,-0.05,46,1547200
104/03/04,108000,14.55,14.70,14.55,14.65,0.15,52,1581050
104/03/05,159001,14.75,14.85,14.60,14.75,0.10,73,2342464
104/03/06,87500,14.85,14.90,14.70,14.85,0.10,52,1297125
104/03/09,83041,14.80,14.90,14.60,14.65,-0.20,50,1222150
104/03/10,162000,14.50,14.75,14.40,14.50,-0.15,89,2362250
104/03/11,139025,14.30,14.50,14.30,14.30,-0.20,74,1994705
104/03/12,89200,14.30,14.50,14.30,14.35,0.05,41,1282690
104/03/13,39000,14.50,14.55,14.45,14.50,0.15,23,565250
