十銓,	4967
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/02/11,468298,26.30,26.50,25.25,25.50,0.65,312,12016878
108/02/12,209100,25.40,25.95,25.30,25.85,0.35,158,5385835
108/02/13,556000,26.05,27.10,26.00,26.50,0.65,318,14715200
108/02/14,265001,26.40,26.60,26.20,26.20,0.30,175,6976626
108/02/15,490149,26.25,26.40,25.80,25.90,0.30,206,12714109
108/02/18,441558,26.30,26.65,26.05,26.50,0.60,304,11678673
108/02/19,2553978,26.65,29.15,26.50,29.00,2.50,1341,72147462
108/02/20,1743000,27.50,28.90,27.20,28.50,0.50,1040,48915047
108/02/21,1044200,28.65,29.30,28.00,28.45,0.05,628,29844390
108/02/22,622157,28.20,28.65,28.05,28.05,0.40,363,17597953
108/02/25,574492,28.05,28.35,27.60,27.70,0.35,311,15973725
108/02/26,434200,27.70,27.90,27.25,27.35,0.35,260,11938960
108/02/27,235100,27.50,27.75,27.20,27.35,,159,6435235
108/03/04,377600,27.45,27.70,27.40,27.60,0.25,217,10395340
108/03/05,192030,27.85,27.85,27.40,27.55,0.05,127,5296425
108/03/06,283130,27.70,27.70,27.30,27.30,0.25,167,7766542
108/03/07,289600,27.25,27.30,27.00,27.00,0.30,177,7849960
108/03/08,210100,27.20,27.20,26.80,27.10,0.10,120,5682109
108/03/11,302500,27.10,27.75,27.05,27.55,0.45,204,8293424
108/03/12,471295,27.70,28.00,27.65,27.75,0.20,263,13114779
108/03/13,296380,27.80,27.90,27.50,27.75,,175,8194920
108/03/14,181361,27.80,27.90,27.60,27.65,0.10,137,5024070
108/03/15,219190,27.60,27.60,27.45,27.50,0.15,138,6033125
108/03/18,235420,27.65,27.75,27.50,27.70,0.20,148,6505184
108/03/19,1090487,27.85,28.85,27.70,28.55,0.85,627,31023902
108/03/20,451100,28.35,28.35,27.95,28.20,0.35,280,12676070
108/03/21,626451,28.35,28.35,28.05,28.15,0.05,317,17649673
108/03/22,381300,28.45,28.45,27.95,28.05,0.10,236,10715734
108/03/25,480200,27.90,28.40,27.50,28.15,0.10,294,13376460
108/03/26,1199540,28.20,29.25,28.20,28.85,0.70,649,34600971
108/03/27,516735,28.95,28.95,28.45,28.65,0.20,281,14805771
108/03/28,381750,28.40,28.55,28.20,28.20,0.45,213,10809050
108/03/29,246347,28.25,28.45,28.25,28.45,0.25,146,6987469
108/04/01,291120,28.60,28.65,28.20,28.30,0.15,174,8254971
108/04/02,299281,28.35,28.40,28.20,28.20,0.10,188,8460018
108/04/03,251400,28.25,28.30,28.00,28.15,0.05,159,7058359
108/04/08,336150,28.15,28.30,28.05,28.05,0.10,213,9467865
108/04/09,372500,28.10,28.25,28.00,28.10,0.05,230,10486350
108/04/10,496561,28.20,28.45,28.15,28.35,0.25,223,14055252
108/04/11,438900,28.30,28.50,28.10,28.20,0.15,224,12421488
108/04/12,511200,28.15,28.15,27.60,27.70,0.50,271,14224789
108/04/15,655022,27.80,27.95,27.30,27.30,0.40,323,18022155
108/04/16,521519,27.30,27.40,27.00,27.30,,286,14157474
108/04/17,504000,27.35,28.30,27.35,27.85,0.55,263,14036400
108/04/18,331080,27.85,27.95,27.50,27.70,0.15,165,9161882
108/04/19,185600,27.70,27.70,27.50,27.55,0.15,103,5113779
108/04/22,259000,27.70,28.40,27.65,27.90,0.35,154,7230700
108/04/23,293033,28.00,28.00,27.45,27.60,0.30,175,8091110
108/04/24,160150,27.75,27.75,27.45,27.45,0.15,95,4410275
108/04/25,127257,27.50,27.70,27.45,27.60,0.15,95,3510543
108/04/26,167000,27.65,27.65,27.40,27.45,0.15,96,4593750
108/04/29,261096,27.60,27.60,27.10,27.10,0.35,154,7119601
108/04/30,67000,27.10,27.35,27.05,27.35,0.25,51,1824050
108/05/02,116442,27.30,27.40,27.30,27.40,0.05,72,3183772
108/05/03,105293,27.40,27.55,27.40,27.45,0.05,72,2889892
108/05/06,174900,27.30,27.30,27.05,27.15,0.30,124,4745103
108/05/07,114040,27.25,27.35,27.15,27.20,0.05,64,3104338
108/05/08,156000,27.15,27.15,27.00,27.05,0.15,110,4216900
108/05/09,234480,27.15,27.20,26.60,26.80,0.25,156,6311213
108/05/10,204290,27.00,27.00,26.40,26.45,0.35,126,5451035
108/05/13,289901,26.45,26.45,26.05,26.20,0.25,146,7586810
108/05/14,169975,25.80,26.30,25.70,26.20,,104,4428900
108/05/15,108762,26.25,26.85,26.25,26.80,0.60,87,2887471
108/05/16,141500,26.75,26.80,26.40,26.50,0.30,75,3758450
108/05/17,146351,26.60,26.60,26.10,26.10,0.40,93,3842395
108/05/20,98272,26.15,26.15,25.60,26.10,,71,2547349
108/05/21,90178,26.15,26.30,26.05,26.20,0.10,57,2359554
108/05/22,81200,26.25,26.40,26.25,26.35,0.15,53,2137260
108/05/23,146000,26.40,26.40,26.15,26.30,0.05,85,3833700
108/05/24,63000,26.50,26.50,26.20,26.35,0.05,45,1659400
108/05/27,53000,26.35,26.40,26.25,26.40,0.05,39,1394100
108/05/28,78100,26.30,26.35,26.25,26.35,0.05,52,2052954
108/05/29,110000,26.30,26.30,26.20,26.25,0.10,62,2886650
108/05/30,118000,26.25,26.60,26.25,26.50,0.25,61,3125850
108/05/31,131100,26.70,26.70,26.40,26.50,,85,3475970
108/06/03,80000,26.40,26.40,26.15,26.35,0.15,45,2100300
108/06/04,67000,26.50,26.50,26.15,26.35,,46,1757550
108/06/05,116150,26.30,26.45,26.25,26.25,0.10,54,3061075
108/06/06,72500,26.25,26.40,26.25,26.40,0.15,42,1910624
108/06/10,359303,26.50,27.15,26.50,26.95,0.55,188,9661615
108/06/11,285440,27.15,27.50,26.95,27.20,0.25,144,7753680
108/06/12,103500,27.15,27.20,26.95,27.15,0.05,66,2799424
108/06/13,96000,27.00,27.00,26.60,26.80,0.35,58,2573250
108/06/14,96000,26.95,26.95,26.55,26.80,,57,2559000
108/06/17,58620,26.90,26.90,26.80,26.85,0.05,43,1574197
108/06/18,62000,27.00,27.00,26.65,26.80,0.05,52,1662400
108/06/19,116400,26.90,27.00,26.85,26.95,0.15,76,3131849
108/06/20,91200,26.90,27.00,26.90,27.00,0.05,50,2459900
108/06/21,302550,27.15,27.40,26.95,27.00,,168,8226150
108/06/24,167100,27.40,27.40,27.20,27.25,0.25,93,4555065
108/06/25,167399,27.40,27.40,27.20,27.25,,115,4568841
108/06/26,121450,27.25,27.30,27.15,27.25,,57,3307361
108/06/27,520150,27.40,27.90,27.30,27.80,0.55,309,14381720
108/06/28,214000,27.90,27.90,27.55,27.80,,120,5931350
108/07/01,175012,27.90,27.95,27.75,27.80,,115,4871533
108/07/02,296720,27.80,27.85,27.60,27.65,0.15,133,8218366
108/07/03,298878,27.55,27.70,27.45,27.70,0.05,141,8241719
108/07/04,170002,27.80,27.80,27.70,27.75,0.05,108,4715505
