利機,	3444
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,77000,23.60,23.70,23.30,23.45,+0.05,33,1805750
104/01/06,20000,23.55,23.55,23.10,23.20,-0.25,12,465550
104/01/07,141000,23.45,23.45,23.00,23.10,-0.10,31,3254550
104/01/08,27000,23.50,23.85,23.40,23.40,+0.30,19,638500
104/01/09,26000,23.40,23.40,23.30,23.30,-0.10,15,606300
104/01/12,97000,23.80,23.80,23.05,23.15,-0.15,35,2240350
104/01/13,108400,23.10,23.30,23.00,23.20,+0.05,35,2504450
104/01/14,53000,23.50,23.55,23.20,23.25,+0.05,34,1238100
104/01/15,21465,23.30,23.40,23.25,23.25,0.00,11,501191
104/01/16,131184,23.30,23.55,23.05,23.05,-0.20,39,3055437
104/01/19,20000,23.20,23.20,23.10,23.10,+0.05,11,462900
104/01/20,17000,23.20,23.45,23.20,23.40,+0.30,12,397650
104/01/21,153000,23.45,23.80,23.30,23.70,+0.30,69,3612700
104/01/22,506661,23.70,25.10,23.40,24.50,+0.80,189,12284595
104/01/23,136705,24.70,24.80,24.15,24.60,+0.10,66,3364851
104/01/26,58662,24.60,24.85,24.60,24.65,+0.05,36,1450819
104/01/27,215765,24.85,25.25,24.60,24.85,+0.20,71,5358845
104/01/28,63105,24.60,24.75,24.55,24.75,-0.10,30,1554133
104/01/29,64000,24.45,24.50,24.20,24.50,-0.25,26,1556000
104/01/30,129000,24.30,24.55,24.15,24.55,+0.05,38,3136750
104/02/02,40000,24.20,24.20,23.75,23.80,-0.75,26,962300
104/02/03,32541,23.85,24.30,23.85,24.20,+0.40,12,781334
104/02/04,147173,24.30,24.75,24.05,24.05,-0.15,60,3597084
104/02/05,37000,24.00,24.15,23.85,24.05,0.00,26,886450
104/02/06,40246,23.95,24.05,23.80,23.80,-0.25,18,961154
104/02/09,106310,23.95,23.95,23.00,23.05,-0.75,54,2469961
104/02/10,16000,23.15,23.15,23.00,23.00,-0.05,12,369400
104/02/11,37000,23.05,23.40,23.00,23.20,+0.20,20,859650
104/02/12,52500,23.10,23.10,23.00,23.10,-0.10,23,1210250
104/02/13,96000,23.30,23.45,23.10,23.20,+0.10,19,2223100
104/02/24,56000,23.40,23.65,23.30,23.55,+0.35,24,1312050
104/02/25,55855,23.50,23.60,23.35,23.35,-0.20,24,1311586
104/02/26,47000,23.30,23.35,23.20,23.25,-0.10,18,1093450
104/03/02,31000,23.25,23.45,23.15,23.20,-0.05,18,719450
104/03/03,71000,23.20,23.30,23.05,23.05,-0.15,25,1649700
104/03/04,41500,23.65,23.65,23.10,23.10,+0.05,16,961100
104/03/05,30000,23.20,23.30,23.15,23.25,+0.15,14,695900
104/03/06,105010,23.30,23.30,23.10,23.15,-0.10,53,2433531
104/03/09,65010,23.30,23.40,23.25,23.25,+0.10,28,1515981
104/03/10,75000,23.25,23.40,23.10,23.40,+0.15,33,1746150
104/03/11,58000,23.55,23.55,23.10,23.15,-0.25,29,1348400
104/03/12,143541,23.35,23.40,23.05,23.05,-0.10,44,3328588
104/03/13,40000,23.10,23.35,23.10,23.20,+0.15,27,932000
104/03/16,46000,23.95,23.95,23.25,23.25,+0.05,21,1074150
104/03/17,24055,23.30,23.45,23.30,23.30,+0.05,14,562781
104/03/18,34000,23.30,23.40,23.30,23.40,+0.10,19,794250
104/03/19,44518,23.45,23.50,23.15,23.15,-0.25,31,1038168
104/03/20,232090,23.15,23.85,23.15,23.65,+0.50,80,5434715
104/03/23,100000,23.65,23.90,23.40,23.40,-0.25,44,2366600
104/03/24,218270,23.30,23.30,23.00,23.15,-0.25,95,5041873
104/03/25,70023,23.15,23.15,23.00,23.00,-0.15,25,1613876
104/03/26,29140,23.10,23.45,23.10,23.15,+0.15,22,678820
104/03/27,36488,23.35,23.45,23.20,23.35,+0.20,23,849921
104/03/30,159620,23.55,23.55,23.00,23.15,-0.20,53,3685060
104/03/31,45000,23.20,23.35,23.15,23.35,+0.20,23,1046550
104/04/01,130000,23.20,23.40,23.10,23.35,0.00,27,3018650
104/04/02,35101,23.35,23.35,23.10,23.10,-0.25,15,813052
104/04/07,99913,23.15,23.15,22.65,22.90,-0.20,51,2283406
104/04/08,42001,23.00,23.00,22.75,22.80,-0.10,16,958273
104/04/09,13420,23.05,23.25,22.80,22.80,0.00,14,308026
104/04/10,20500,23.10,23.10,22.75,22.75,-0.05,14,468675
104/04/13,5346,22.80,23.05,22.80,23.00,+0.25,7,122538
104/04/14,20220,22.90,22.95,22.85,22.85,-0.15,12,463126
104/04/15,21315,22.75,23.00,22.75,23.00,+0.15,15,486149
104/04/16,17000,23.00,23.00,22.80,22.80,-0.20,10,388300
104/04/17,18000,22.80,22.85,22.65,22.85,+0.05,13,408900
104/04/20,10000,22.75,22.75,22.65,22.65,-0.20,10,227000
104/04/21,33000,22.65,22.80,22.60,22.60,-0.05,18,747250
104/04/22,10999,22.60,22.85,22.60,22.85,+0.25,12,249477
104/04/23,35565,22.85,22.90,22.60,22.70,-0.15,23,808011
104/04/24,15000,22.60,22.80,22.55,22.75,+0.05,10,339400
104/04/27,30671,22.85,22.85,22.60,22.60,-0.15,15,694780
104/04/28,2512,22.80,22.80,22.80,22.80,+0.20,4,57171
104/04/29,22350,22.65,22.65,22.50,22.50,-0.30,15,504755
104/04/30,19000,22.40,22.70,22.40,22.70,+0.20,8,427000
104/05/04,28000,22.55,22.55,22.45,22.50,-0.20,11,630400
104/05/05,17000,22.75,22.80,22.55,22.80,+0.30,9,384950
104/05/06,24187,22.90,22.90,22.90,22.90,+0.10,16,553844
104/05/07,52000,22.65,22.85,22.55,22.55,-0.35,21,1175200
104/05/08,20000,22.55,22.80,22.45,22.55,0.00,11,451250
104/05/11,94260,22.60,22.60,21.10,21.55,-1.00,50,2027864
104/05/12,77000,21.80,21.80,20.75,20.85,-0.70,38,1615350
104/05/13,53000,20.50,21.15,20.10,21.15,+0.30,32,1089150
104/05/14,31001,21.05,21.25,20.60,20.65,-0.50,17,648770
104/05/15,36000,20.75,20.80,20.60,20.75,+0.10,16,748250
104/05/18,22340,20.20,20.60,20.10,20.50,-0.25,15,451701
104/05/19,85808,20.10,20.60,20.10,20.45,-0.05,31,1743202
104/05/20,26000,20.45,20.45,20.20,20.30,-0.15,11,528850
104/05/21,16000,20.45,20.80,20.30,20.80,+0.50,7,327300
104/05/22,3043,20.75,20.75,20.65,20.65,-0.15,4,62931
104/05/25,14000,20.90,20.90,20.25,20.70,+0.05,7,288800
104/05/26,39000,20.60,20.60,20.10,20.55,-0.15,15,786100
104/05/27,14000,20.55,20.60,20.55,20.60,+0.05,7,287800
104/05/28,183374,20.75,22.00,20.40,22.00,+1.40,89,3993528
104/05/29,85783,22.00,22.30,20.65,21.70,-0.30,59,1811284
104/06/01,12000,21.70,22.40,21.60,21.60,-0.10,8,262400
104/06/02,76220,21.70,22.50,21.60,22.00,+0.40,47,1678512
104/06/03,10387,22.15,22.20,22.00,22.10,+0.10,7,229275
104/06/04,57000,22.25,22.25,21.80,22.00,-0.10,18,1258400
104/06/05,38231,21.65,22.10,21.65,22.10,+0.10,18,839508
104/06/08,3635,21.90,22.20,21.90,22.00,-0.10,4,80070
104/06/09,56000,21.70,21.70,19.90,20.80,-1.20,36,1156050
