科際精密,	4568
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/10/03,657350,90.90,93.90,88.80,90.40,+15.40,539,59729200
107/10/04,340500,89.00,92.50,88.60,91.70,+1.30,302,30779700
107/10/05,593100,92.50,98.00,92.10,96.00,+4.30,496,56048749
107/10/08,273460,95.40,96.30,93.00,93.80,-2.20,244,25918147
107/10/09,236265,94.80,95.00,90.50,90.60,-3.20,171,21749707
107/10/11,182942,85.10,85.10,81.60,81.60,-9.00,150,15126367
107/10/12,80852,81.60,82.70,79.00,82.70,+1.10,71,6553390
107/10/15,50010,81.50,82.00,80.60,80.60,-2.10,42,4048910
107/10/16,30132,80.50,81.80,80.50,80.80,+0.20,30,2441531
107/10/17,77000,81.50,82.40,80.80,80.80,0.00,43,6273000
107/10/18,28284,80.00,82.00,80.00,80.80,0.00,27,2291746
107/10/19,53000,79.00,79.00,77.80,77.90,-2.90,45,4140700
107/10/22,14000,77.90,78.90,77.90,78.50,+0.60,14,1097100
107/10/23,6000,78.20,78.50,78.00,78.00,-0.50,6,468700
107/10/24,9000,77.90,78.00,76.80,76.80,-1.20,9,696200
107/10/25,31000,75.00,76.80,75.00,75.90,-0.90,22,2347100
107/10/26,22000,76.90,76.90,75.80,75.90,0.00,20,1678300
107/10/29,11000,75.00,75.00,74.50,74.50,-1.40,11,823300
107/10/30,48000,74.50,74.50,72.00,73.90,-0.60,22,3522600
107/10/31,46000,75.40,79.90,74.80,79.90,+6.00,44,3521900
107/11/01,3000,81.00,81.00,79.50,79.50,-0.40,3,241300
107/11/02,14000,79.00,79.00,76.60,76.60,-2.90,13,1084700
107/11/08,7000,78.00,78.10,77.30,77.30,-0.70,7,544400
107/11/09,8000,76.60,76.90,75.50,75.50,-1.80,8,610200
107/11/12,13000,72.60,74.00,72.50,74.00,-1.50,13,956100
107/11/16,11000,76.00,76.00,75.00,75.00,0.00,9,832200
107/11/19,0,---,---,---,---,---,0,0
107/11/20,0,---,---,---,---,---,0,0
107/11/21,7000,75.00,76.00,74.50,74.50,0.00,7,525500
107/11/22,13020,74.50,74.50,73.00,73.50,-1.00,12,955476
107/11/23,11000,72.90,74.00,72.90,74.00,+0.50,11,809500
107/11/26,19000,71.00,74.00,71.00,74.00,0.00,18,1371000
107/11/27,4000,74.00,74.50,72.10,74.50,+0.50,4,295100
107/11/28,0,---,---,---,---,---,0,0
107/11/29,32000,75.20,75.20,72.80,75.00,+1.00,28,2355600
107/11/30,16000,73.20,76.00,73.10,76.00,+1.00,15,1205700
107/12/03,26000,76.20,78.10,76.20,76.20,+0.20,26,2008000
107/12/04,12000,74.80,76.00,74.80,75.90,-0.30,12,907200
107/12/05,19000,75.70,75.70,73.40,74.90,-1.00,19,1411400
107/12/06,15000,73.50,73.50,73.00,73.10,-1.80,15,1097000
107/12/07,4000,74.00,74.00,73.10,73.90,+0.80,4,294200
107/12/10,11000,71.80,72.10,71.80,72.00,-1.90,8,792000
107/12/11,12000,72.20,74.50,71.60,74.00,+2.00,12,876100
107/12/12,20030,74.00,74.80,73.20,73.40,-0.60,18,1487850
107/12/13,10070,73.50,73.50,72.00,72.00,-1.40,7,727280
107/12/14,28000,72.60,72.60,72.00,72.20,+0.20,16,2021800
107/12/17,27000,72.00,72.20,72.00,72.00,-0.20,15,1945800
107/12/18,520000,72.00,72.00,71.50,71.50,-0.50,11,37181100
107/12/19,67000,71.50,71.50,70.10,70.50,-1.00,39,4732500
107/12/20,6000,70.00,70.50,70.00,70.20,-0.30,6,421100
107/12/21,9000,68.50,69.00,68.50,69.00,-1.20,9,620400
107/12/22,33000,69.00,69.00,68.60,68.70,-0.30,23,2272200
107/12/24,21160,68.00,68.70,68.00,68.30,-0.40,14,1444896
107/12/25,4000,68.00,68.30,67.50,68.30,0.00,4,272000
107/12/26,24000,66.90,68.30,66.90,67.20,-1.10,22,1630500
107/12/27,1394,71.00,71.00,71.00,71.00,+3.80,3,98895
107/12/28,16146,67.20,68.80,67.20,68.00,-3.00,14,1099557
108/01/02,10170,69.50,69.50,67.50,67.50,-0.50,11,693705
108/01/03,19030,66.10,69.00,66.10,66.50,-1.00,16,1276495
108/01/04,23165,66.20,66.50,66.00,66.50,0.00,17,1534920
108/01/07,4000,66.00,66.00,65.70,65.90,-0.60,4,263500
108/01/08,71000,66.00,66.10,65.90,66.00,+0.10,53,4683900
108/01/09,32050,68.00,68.00,65.30,65.30,-0.70,27,2120440
108/01/10,63000,68.80,68.80,65.70,68.30,+3.00,43,4194000
108/01/11,43100,67.00,67.90,66.50,66.60,-1.70,20,2877300
108/01/14,17000,66.60,67.00,66.60,66.60,0.00,13,1135700
108/01/15,17015,66.00,67.30,66.00,67.30,+0.70,18,1133909
108/01/16,5050,67.30,67.30,66.60,66.60,-0.70,6,339200
108/01/17,32200,67.40,68.50,67.40,67.90,+1.30,27,2189180
108/01/18,52000,68.30,71.80,68.30,71.00,+3.10,42,3643400
108/01/21,32000,72.00,72.00,70.60,70.80,-0.20,31,2272700
108/01/22,33270,70.30,70.80,70.20,70.20,-0.60,19,2343854
108/01/23,16005,71.00,71.00,70.00,70.20,0.00,16,1125751
108/01/28,15060,70.80,71.40,70.80,71.40,+1.70,9,1069384
108/01/29,16000,71.40,71.40,70.50,71.40,0.00,9,1140800
108/01/30,11000,70.40,71.90,70.10,71.90,+0.50,6,781600
108/02/11,47000,72.00,75.00,71.90,75.00,+3.10,26,3451400
108/02/12,19000,73.50,75.00,73.00,75.00,0.00,17,1407100
108/02/13,2030,76.80,76.80,74.90,74.90,-0.10,3,153902
108/02/14,84140,75.30,77.50,74.50,77.40,+2.50,65,6403536
108/02/15,48000,77.00,78.00,76.00,77.30,-0.10,38,3694100
108/02/18,43000,77.30,77.60,76.80,77.60,+0.30,30,3317700
108/02/19,30000,76.00,78.10,76.00,78.00,+0.40,20,2333300
108/02/20,25000,78.00,78.00,77.10,77.10,-0.90,18,1938100
108/02/21,28050,76.30,76.50,76.00,76.10,-1.00,23,2137705
108/02/22,22080,75.00,76.00,74.70,74.70,-1.40,22,1658248
108/02/25,120050,74.20,74.20,73.00,73.20,-1.50,71,8849600
108/02/26,44000,73.00,74.00,73.00,73.90,+0.70,35,3239800
108/02/27,43300,73.90,73.90,72.50,73.00,-0.90,37,3164400
108/03/04,23019,73.10,73.50,73.00,73.50,+0.50,18,1686287
108/03/05,5050,73.10,73.80,73.10,73.80,+0.30,7,370389
108/03/06,14000,73.50,73.50,73.00,73.00,-0.80,10,1024500
108/03/07,27000,73.90,74.00,73.00,73.00,0.00,25,1979100
108/03/08,8000,72.80,73.00,72.80,73.00,0.00,7,583000
108/03/11,24450,72.40,72.40,71.10,71.30,-1.70,27,1746153
108/03/12,13000,71.50,72.40,71.50,72.40,+1.10,13,937500
108/03/13,2000,72.50,72.90,72.50,72.90,+0.50,2,145400
108/03/14,99100,73.50,74.00,71.50,72.40,-0.50,52,7178550
108/03/15,34000,72.00,72.10,71.20,71.50,-0.90,30,2435600
108/03/18,68000,71.40,71.50,70.60,71.00,-0.50,49,4833700
108/03/19,37000,71.00,71.00,70.20,70.20,-0.80,28,2614600
108/03/20,57000,71.80,71.80,69.60,69.60,-0.60,51,3981800
108/03/21,33000,69.60,70.80,69.50,69.50,-0.10,31,2306700
108/03/22,6000,70.10,71.70,70.10,71.70,+2.20,6,424700
108/03/25,22000,71.60,71.60,70.00,70.70,-1.00,21,1550200
108/03/26,12487,71.00,71.00,70.10,70.20,-0.50,15,880786
108/03/27,8425,70.40,70.40,70.00,70.00,-0.20,12,590150
108/03/28,15000,69.80,70.50,69.70,70.00,0.00,12,1050500
108/03/29,8000,70.00,70.30,70.00,70.30,+0.30,6,560400
108/04/01,48000,70.00,70.30,69.90,70.00,-0.30,35,3361400
108/04/02,39088,70.10,70.20,70.00,70.00,0.00,28,2738560
108/04/03,20000,70.50,70.50,70.20,70.20,+0.20,13,1406600
108/04/08,72000,70.60,75.80,70.60,73.20,+3.00,59,5280200
108/04/09,28000,73.20,73.20,70.80,71.90,-1.30,25,2023200
