鉅明,	8928
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,76894,37.60,37.85,37.50,37.85,+0.25,46,2894664
104/01/06,79256,37.80,37.80,37.25,37.30,-0.55,53,2964847
104/01/07,406600,37.40,39.65,37.35,38.95,+1.65,221,15580437
104/01/08,220448,39.10,39.10,38.20,38.75,-0.20,131,8475702
104/01/09,228600,38.75,38.75,37.50,37.85,-0.90,147,8719458
104/01/12,219200,37.65,37.90,37.10,37.50,-0.35,85,8246948
104/01/13,136361,37.45,37.80,37.30,37.35,-0.15,74,5117359
104/01/14,139601,37.35,37.50,37.20,37.20,-0.15,87,5211037
104/01/15,100200,37.25,37.80,37.20,37.35,+0.15,49,3751879
104/01/16,122200,37.25,37.60,37.10,37.50,+0.15,68,4555417
104/01/19,251000,37.50,37.80,37.00,37.35,-0.15,91,9355350
104/01/20,122280,37.05,37.75,37.05,37.40,+0.05,57,4566466
104/01/21,244625,37.40,37.40,36.75,36.95,-0.45,118,9065391
104/01/22,685000,37.00,38.90,37.00,38.20,+1.25,345,26247500
104/01/23,201600,38.00,38.40,37.50,37.60,-0.60,104,7625508
104/01/26,116000,38.15,38.15,37.50,37.70,+0.10,67,4370399
104/01/27,361550,37.80,38.20,37.70,37.80,+0.10,140,13713734
104/01/28,245800,37.90,38.10,37.70,37.70,-0.10,110,9321850
104/01/29,668006,37.70,38.70,37.30,38.25,+0.55,321,25424325
104/01/30,103424,38.25,38.45,38.00,38.30,+0.05,72,3949852
104/02/02,720379,38.30,39.50,38.10,39.00,+0.70,348,28082003
104/02/03,387800,39.00,39.10,38.05,38.30,-0.70,161,14929730
104/02/04,322300,38.40,38.60,37.55,38.10,-0.20,130,12238750
104/02/05,57243,38.10,38.40,37.80,37.80,-0.30,41,2178448
104/02/06,224800,38.10,38.40,37.50,37.80,0.00,111,8519960
104/02/09,141600,37.80,38.00,37.50,37.55,-0.25,51,5334850
104/02/10,135300,37.55,37.80,37.40,37.45,-0.10,77,5077734
104/02/11,240028,37.55,37.75,37.25,37.55,+0.10,77,8986452
104/02/12,860901,37.50,37.50,36.00,36.50,-1.05,330,31436856
104/02/13,269781,36.50,36.85,36.00,36.30,-0.20,129,9803666
104/02/24,188200,36.65,37.90,36.65,37.80,+1.50,113,7070960
104/02/25,201600,38.00,38.25,37.90,38.00,+0.20,104,7674730
104/02/26,711401,38.00,39.40,38.00,39.30,+1.30,330,27801123
104/03/02,201200,39.30,39.45,38.60,39.00,-0.30,107,7836650
104/03/03,94024,39.00,39.25,38.70,39.00,0.00,58,3656523
104/03/04,327702,38.90,39.40,38.90,38.90,-0.10,136,12813364
104/03/05,150495,39.25,39.25,38.50,38.85,-0.05,100,5817707
104/03/06,218303,38.80,39.40,38.70,39.15,+0.30,117,8531268
104/03/09,1417520,40.90,41.20,39.65,39.75,+0.60,670,57112313
104/03/10,500369,39.75,40.00,38.90,39.10,-0.65,250,19663951
104/03/11,324203,39.00,39.80,38.65,39.75,+0.65,161,12718676
104/03/12,645900,40.00,40.55,39.80,39.80,+0.05,302,25966392
104/03/13,193200,39.70,39.95,39.60,39.60,-0.20,83,7689359
104/03/16,330200,40.40,40.40,39.25,39.25,-0.35,176,13047208
104/03/17,290800,39.30,39.50,39.00,39.00,-0.25,182,11425439
104/03/18,323775,39.00,39.80,39.00,39.70,+0.70,164,12799721
104/03/19,518898,39.70,40.40,39.70,39.90,+0.20,320,20767146
104/03/20,1202807,39.90,41.30,39.90,40.95,+1.05,617,49118326
104/03/23,2239601,41.00,43.80,41.00,43.80,+2.85,982,95006758
104/03/24,2843775,44.50,46.60,44.50,46.45,+2.65,1455,129162975
104/03/25,1998321,46.00,46.25,45.05,45.40,-1.05,835,90946054
104/03/26,3456059,45.40,48.50,45.30,47.00,+1.60,1794,163848155
104/03/27,5143711,48.50,50.20,47.50,50.20,+3.20,2513,254732556
104/03/30,3061256,50.20,50.40,47.70,48.40,-1.80,1799,149958188
104/03/31,2865432,48.40,51.60,48.40,51.60,+3.20,1687,143860396
104/04/01,1994869,51.50,53.00,50.70,51.50,-0.10,1237,103110671
104/04/02,2420390,51.50,53.50,50.60,52.50,+1.00,1418,126223654
104/04/07,2671271,52.50,56.00,52.10,55.50,+3.00,1521,146116176
104/04/08,3812391,55.90,57.70,53.00,54.00,-1.50,2159,210878834
104/04/09,2249067,53.80,54.70,51.90,51.90,-2.10,1324,119048550
