勤崴國際,	6516
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/05/06,895000,180.00,189.00,175.00,180.50,+42.50,823,161310000
108/05/07,435185,183.00,183.50,175.00,176.00,-4.50,399,77641800
108/05/08,322516,173.00,173.00,165.50,168.00,-8.00,309,54249204
108/05/09,141400,167.50,170.50,166.00,167.00,-1.00,138,23704100
108/05/10,242070,167.50,172.50,167.50,169.00,+2.00,224,41145610
108/05/13,239987,169.00,169.00,153.00,153.50,-15.50,242,37883472
108/05/14,185660,148.00,148.00,140.50,146.00,-7.50,181,26936340
108/05/15,120410,144.50,153.00,144.50,150.50,+4.50,121,18120140
108/05/16,62616,152.00,153.00,150.50,150.50,0.00,65,9533056
108/05/17,119600,150.50,153.50,146.50,148.00,-2.50,117,17954400
108/05/20,67166,148.00,150.00,148.00,149.00,+1.00,67,10007315
108/05/21,42100,149.00,151.00,149.00,151.00,+2.00,39,6322700
108/05/22,63400,151.00,151.00,149.00,149.00,-2.00,59,9494500
108/05/23,64000,147.50,151.00,147.00,151.00,+2.00,56,9496500
108/05/24,58100,151.00,157.00,151.00,152.50,+1.50,55,8946550
108/05/27,14000,154.00,154.00,151.50,153.00,+0.50,14,2144000
108/05/28,19770,152.00,153.00,151.50,152.00,-1.00,20,3004500
108/05/29,27800,152.50,153.00,151.00,151.00,-1.00,29,4226500
108/05/30,21010,153.00,153.00,151.00,151.00,0.00,21,3187525
108/05/31,20050,152.50,152.50,152.00,152.00,+1.00,21,3052750
108/06/03,24000,150.50,151.50,150.50,151.00,-1.00,24,3620500
108/06/04,17123,151.50,151.50,150.00,150.00,-1.00,18,2579442
108/06/05,55234,152.00,153.00,151.50,152.00,+2.00,49,8408068
108/06/06,62000,151.00,152.00,149.00,149.00,-3.00,48,9338500
108/06/10,48500,149.50,151.00,149.50,150.00,+1.00,42,7288000
108/06/11,37100,150.00,150.50,148.00,149.50,-0.50,36,5539000
108/06/12,16020,150.00,150.00,149.00,149.50,0.00,17,2397500
108/06/13,22000,150.00,150.00,149.00,149.50,0.00,22,3283000
108/06/14,32200,149.50,149.50,147.50,147.50,-2.00,29,4780200
108/06/17,56000,147.50,147.50,145.50,145.50,-2.00,46,8178000
108/06/18,49000,145.50,150.00,145.50,148.00,+2.50,33,7276000
108/06/19,14050,149.00,149.00,147.00,147.00,-1.00,15,2081925
108/06/20,17771,148.00,148.50,147.00,147.00,0.00,26,2629066
108/06/21,33080,148.00,149.00,147.00,147.00,0.00,23,4875840
108/06/24,13348,146.00,146.00,145.50,146.00,-1.00,16,1948656
108/06/25,22200,148.50,148.50,145.50,146.00,0.00,22,3249400
108/06/26,17280,145.50,146.00,145.00,146.00,0.00,21,2512020
108/06/27,27710,145.50,146.00,145.00,146.00,0.00,31,4036660
108/06/28,17062,147.00,147.00,145.50,145.50,-0.50,20,2497552
108/07/01,28149,146.00,147.00,145.50,146.50,+1.00,26,4111328
108/07/02,15000,146.50,147.50,146.50,147.50,+1.00,15,2208500
108/07/03,6100,147.50,147.50,146.50,146.50,-1.00,8,896450
108/07/04,17000,147.00,147.00,146.50,146.50,0.00,17,2498000
108/07/05,11300,146.50,146.50,145.50,146.00,-0.50,16,1648949
108/07/08,18169,146.50,146.50,146.00,146.00,0.00,17,2655350
108/07/09,12250,146.00,146.50,146.00,146.00,0.00,14,1791625
108/07/10,23028,145.50,146.50,145.50,146.00,0.00,24,3359144
108/07/11,22464,146.00,146.00,145.00,145.00,-1.00,23,3263244
108/07/12,27100,145.50,146.50,145.00,146.50,+1.50,27,3946900
108/07/15,189507,146.00,161.00,146.00,160.00,+13.50,193,29779627
108/07/16,106207,157.50,163.00,156.50,157.00,-3.00,107,16887999
108/07/17,41170,157.00,161.50,155.50,155.50,-1.50,44,6529435
108/07/18,27130,154.50,155.00,153.00,153.00,-2.50,29,4177085
108/07/19,14190,154.00,156.50,152.50,155.00,+2.00,17,2196545
108/07/22,24100,155.00,157.00,155.00,157.00,+2.00,25,3757350
108/07/23,5380,157.00,157.00,155.50,155.50,-1.50,10,838970
108/07/24,9209,155.00,155.00,154.00,154.00,-1.50,14,1425604
108/07/25,17280,154.00,154.00,153.00,153.50,-0.50,22,2650760
108/07/26,15000,153.00,153.50,152.00,153.50,0.00,12,2288500
108/07/29,4100,153.50,154.00,153.00,153.00,-0.50,5,630500
108/07/30,20200,153.00,155.00,152.00,152.00,-1.00,19,3098700
108/07/31,5100,152.00,152.00,151.00,151.00,-1.00,7,772300
108/08/01,29000,151.00,153.00,150.00,151.00,0.00,20,4404000
108/08/02,8000,150.50,150.50,147.50,148.00,-3.00,8,1188000
108/08/05,23150,148.00,148.00,147.50,147.50,-0.50,22,3425775
108/08/06,41100,142.50,146.00,142.50,145.00,-2.50,44,5933900
108/08/07,9002,145.50,145.50,145.50,145.50,+0.50,11,1309792
108/08/08,31009,145.00,149.00,145.00,147.00,+1.50,23,4531832
108/08/12,22000,149.00,149.50,148.00,148.50,+1.50,22,3272500
108/08/13,8100,148.00,148.00,145.50,145.50,-3.00,13,1187000
108/08/14,11105,145.50,148.00,145.50,146.00,+0.50,13,1628040
108/08/15,15060,145.00,145.00,144.00,144.50,-1.50,15,2171880
108/08/16,15661,146.00,146.00,145.00,146.00,+1.50,21,2275845
108/08/19,8288,146.00,146.00,145.00,146.00,0.00,12,1208336
108/08/20,6003,146.00,146.50,146.00,146.50,+0.50,7,878947
108/08/21,47026,146.50,155.00,146.50,153.00,+6.50,48,7125939
108/08/22,52250,154.00,155.00,149.50,150.50,-2.50,52,7921375
108/08/23,26000,149.50,150.50,149.00,149.50,-1.00,26,3894000
108/08/26,59122,144.00,147.50,144.00,146.00,-3.50,56,8616239
108/08/27,101160,126.00,136.50,126.00,136.00,,99,13451920
108/08/28,34035,136.00,137.00,134.00,134.00,-2.00,32,4606330
108/08/29,27056,134.00,134.00,131.00,131.00,-3.00,29,3569312
108/08/30,17400,131.00,136.00,131.00,133.00,+2.00,21,2331200
108/09/02,21210,132.00,134.00,132.00,133.50,+0.50,21,2816955
108/09/03,8060,133.50,133.50,133.00,133.50,0.00,9,1075160
108/09/04,8000,133.00,133.50,133.00,133.50,0.00,8,1065000
108/09/05,7190,133.00,135.00,133.00,134.00,+0.50,11,960460
108/09/06,9320,134.00,134.00,132.00,132.50,-1.50,12,1239020
108/09/09,9017,133.00,133.00,132.00,132.50,0.00,10,1195846
108/09/10,7300,132.00,132.50,132.00,132.50,0.00,10,965000
108/09/11,6000,132.00,132.50,131.50,131.50,-1.00,6,792000
108/09/12,11000,131.00,131.00,131.00,131.00,-0.50,10,1441000
108/09/16,16013,132.00,132.00,131.00,131.50,+0.50,14,2103274
108/09/17,23259,131.00,131.00,130.00,130.00,-1.50,21,3033170
108/09/18,11200,130.00,130.00,129.00,129.50,-0.50,12,1449100
108/09/19,15000,128.00,129.50,128.00,129.50,0.00,15,1935000
108/09/20,17013,128.00,129.50,128.00,129.00,-0.50,17,2192748
108/09/23,28617,129.00,129.00,127.00,127.50,-1.50,33,3658476
108/09/24,27218,128.00,130.00,128.00,129.00,+1.50,24,3504276
108/09/25,10013,129.00,129.00,127.50,127.50,-1.50,11,1280216
108/09/26,11032,128.00,128.00,127.50,127.50,0.00,11,1409676
108/09/27,32276,127.00,127.00,123.00,124.00,-3.50,33,4026052
108/10/01,14000,125.00,125.50,123.00,123.00,-1.00,12,1736500
108/10/02,69579,123.00,123.00,116.00,120.00,-3.00,66,8289296
108/10/03,25200,118.00,121.00,118.00,121.00,+1.00,24,2996900
108/10/04,30673,121.00,121.00,118.00,118.00,-3.00,76,3637414
108/10/07,36739,117.50,120.00,117.50,118.00,0.00,52,4342202
108/10/08,23511,118.50,119.00,117.50,117.50,-0.50,30,2776298
108/10/09,54174,117.50,117.50,113.00,113.00,-4.50,70,6222662
108/10/14,124820,113.00,113.00,102.50,105.00,-8.00,151,13120600
108/10/15,64136,105.00,112.50,105.00,110.00,+5.00,78,7038460
108/10/16,14417,111.00,111.00,106.00,109.00,-1.00,21,1561953
108/10/17,9928,106.00,108.00,106.00,108.00,-1.00,22,1060224
108/10/18,3167,106.00,106.50,106.00,106.50,-1.50,5,336369
108/10/21,15368,105.50,105.50,105.00,105.50,-1.00,18,1618823
108/10/22,8194,106.00,106.00,105.00,105.00,-0.50,14,863870
108/10/23,8708,105.00,105.50,105.00,105.50,+0.50,15,916192
108/10/24,11351,105.50,106.00,105.50,106.00,+0.50,14,1199881
108/10/25,9256,107.00,108.00,107.00,107.50,+1.50,11,993148
108/10/28,27877,111.50,114.00,109.00,114.00,+6.50,39,3107101
108/10/29,39585,114.50,121.00,114.50,118.50,+4.50,47,4661321
108/10/30,22749,120.00,120.00,115.00,120.00,+1.50,27,2683131
108/10/31,4815,117.00,117.00,116.00,116.00,-4.00,12,560355
108/11/01,22002,116.00,118.50,116.00,117.50,+1.50,29,2584736
108/11/04,18924,117.50,117.50,114.00,116.00,-1.50,24,2189143
108/11/05,10214,115.00,115.00,114.50,115.00,-1.00,17,1171002
108/11/06,17772,114.00,114.50,112.00,112.00,-3.00,28,2013464
108/11/07,5504,112.00,112.00,111.00,111.00,-1.00,9,613944
108/11/08,31844,110.00,112.00,107.00,112.00,+1.00,35,3452684
108/11/11,35837,109.50,109.50,105.50,106.00,-6.00,46,3822722
108/11/12,7932,107.00,107.00,107.00,107.00,+1.00,12,848724
108/11/13,34020,105.50,106.50,104.50,106.00,-1.00,28,3581640
108/11/14,4340,106.00,107.00,106.00,107.00,+1.00,6,461040
108/11/15,18000,107.00,107.00,105.50,105.50,-1.50,9,1904000
108/11/18,14988,106.50,106.50,105.00,105.50,0.00,16,1580721
108/11/19,59569,105.00,105.00,103.00,103.00,-2.50,46,6205176
108/11/20,99951,103.00,103.00,99.50,100.50,-2.50,90,10065051
108/11/21,41147,99.00,100.00,99.00,100.00,-0.50,40,4085800
108/11/22,20663,100.00,100.50,99.50,100.50,+0.50,23,2067800
108/11/25,42033,101.50,110.00,101.50,104.50,+4.00,43,4468465
108/11/26,21207,106.00,106.00,104.00,104.50,0.00,21,2231235
108/11/27,41295,104.50,107.00,103.50,105.50,+1.00,45,4339475
108/11/28,12168,105.00,105.50,104.00,104.50,-1.00,13,1274056
108/11/29,15730,105.00,105.00,104.00,104.00,-0.50,19,1643420
108/12/02,52168,104.00,105.00,104.00,104.50,+0.50,19,5432472
108/12/03,28200,104.00,105.50,104.00,105.00,+0.50,25,2950899
108/12/04,14435,105.00,106.00,104.00,104.00,-1.00,14,1511175
108/12/05,285325,104.00,105.00,104.00,104.50,+0.50,14,26830025
108/12/06,8648,104.50,105.00,104.50,104.50,0.00,11,903744
108/12/09,14337,105.00,105.00,103.50,103.50,-1.00,16,1491379
108/12/10,2000,103.50,103.50,103.00,103.00,-0.50,2,206500
108/12/11,20663,103.00,103.00,101.00,101.50,-1.50,26,2109626
108/12/12,21482,101.50,101.50,101.00,101.50,0.00,23,2180404
108/12/13,46461,101.50,101.50,100.00,100.50,-1.00,49,4673329
108/12/16,19830,100.50,100.50,99.90,100.00,-0.50,27,1986200
108/12/17,53741,100.00,100.00,99.90,100.00,0.00,53,5373400
108/12/18,57174,99.90,101.00,99.90,100.50,+0.50,42,5722900
108/12/19,22673,101.50,103.00,101.50,103.00,+2.50,25,2317646
108/12/20,26399,102.00,102.50,102.00,102.50,-0.50,28,2698097
108/12/23,170200,102.50,111.00,102.50,106.50,+4.00,134,18149200
108/12/24,117505,106.50,114.00,106.50,110.00,+3.50,120,13005045
108/12/25,117950,115.00,116.50,110.50,112.00,+2.00,115,13385400
108/12/26,44801,112.00,112.50,109.00,109.00,-3.00,43,4942408
108/12/27,90274,110.00,115.50,110.00,112.00,+3.00,84,10149414
108/12/30,42500,112.00,112.00,110.50,112.00,0.00,32,4726000
108/12/31,10773,111.00,111.00,110.50,110.50,-1.50,13,1192916
109/01/02,16168,110.50,111.50,110.50,111.50,+1.00,17,1794564
109/01/03,24179,112.00,112.00,110.50,110.50,-1.00,25,2699369
109/01/06,15168,110.50,111.50,110.50,110.50,0.00,19,1678812
109/01/07,30073,110.50,115.00,110.50,111.00,+0.50,30,3370030
109/01/08,25100,111.00,112.50,110.00,110.50,-0.50,22,2793050
109/01/09,32020,112.00,112.00,111.50,111.50,+1.00,30,3582230
109/01/10,36011,112.00,112.00,110.50,112.00,+0.50,38,4011221
109/01/13,28337,112.50,113.00,112.00,112.50,+0.50,27,3184575
109/01/14,134999,112.50,119.50,112.50,115.00,+2.50,106,15561886
