國碳科,	4754
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/10/11,47000,46.05,46.05,43.80,45.05,-3.50,31,2111600
107/10/12,11000,45.00,47.00,45.00,47.00,+1.95,11,513000
107/10/15,23000,47.00,48.00,47.00,47.40,+0.40,17,1086400
107/10/16,7000,47.00,47.90,46.50,47.90,+0.50,4,329400
107/10/17,0,---,---,---,---,---,0,0
107/10/18,15000,47.05,47.05,47.00,47.05,-0.75,12,705650
107/10/19,3000,45.95,46.70,45.95,46.70,-0.35,3,138650
107/10/22,6100,47.50,47.50,47.20,47.20,+0.50,4,289419
107/10/23,0,---,---,---,---,---,0,0
107/10/24,25000,47.50,49.00,47.50,47.65,+0.45,22,1200850
107/10/25,0,---,---,---,---,---,0,0
107/10/26,8000,47.25,47.95,47.00,47.95,+0.30,8,378200
107/10/29,0,---,---,---,---,---,0,0
107/10/30,0,---,---,---,---,---,0,0
107/10/31,43000,47.95,48.60,47.50,47.50,-0.20,28,2067150
107/11/01,7000,48.25,48.25,47.50,47.50,0.00,7,334700
107/11/02,22000,48.00,48.10,47.60,47.95,+0.45,20,1051150
107/11/08,40000,48.50,50.00,48.50,49.50,+1.00,22,1968200
107/11/09,26000,49.50,49.50,49.20,49.20,-0.30,15,1285650
107/11/12,15000,49.15,50.00,49.15,49.80,+0.60,12,746450
107/11/16,0,---,---,---,---,---,0,0
107/11/19,0,---,---,---,---,---,0,0
107/11/20,0,---,---,---,---,---,0,0
107/11/21,13000,49.50,49.50,49.50,49.50,+0.10,6,643500
107/11/22,11000,49.50,49.50,48.50,48.50,-1.00,6,543500
107/11/23,0,---,---,---,---,---,0,0
107/11/26,14000,49.40,49.40,48.05,48.45,-0.05,8,677800
107/11/27,11000,47.00,47.05,47.00,47.00,-1.45,11,517150
107/11/28,10000,48.45,48.45,48.45,48.45,+1.45,2,484500
107/11/29,7000,48.45,48.50,48.45,48.50,+0.05,5,339250
107/11/30,3000,48.50,48.50,47.15,48.50,0.00,3,144150
107/12/03,2100,49.65,49.65,49.65,49.65,+1.15,3,104220
107/12/04,9000,47.55,49.50,47.55,49.50,-0.15,9,437050
107/12/05,0,---,---,---,---,---,0,0
107/12/06,10000,47.65,48.90,47.60,48.90,-0.25,6,484000
107/12/07,1100,47.50,47.50,47.50,47.50,-1.40,2,52300
107/12/10,3000,47.05,47.05,47.05,47.05,-0.45,3,141150
107/12/11,43100,48.80,50.00,48.80,49.85,+2.80,36,2150740
107/12/12,7000,49.85,50.00,49.50,49.50,-0.35,7,347950
107/12/13,7000,50.00,50.00,48.25,48.80,-0.70,5,342450
107/12/14,13000,49.50,50.00,49.40,49.40,+0.60,8,643700
107/12/17,11000,49.45,50.00,49.40,49.40,0.00,10,545150
107/12/18,19000,49.40,49.60,49.40,49.50,+0.10,14,941000
107/12/19,19036,49.40,49.50,49.05,49.50,0.00,11,941096
107/12/20,19000,49.60,49.70,49.50,49.70,+0.20,16,941700
107/12/21,3000,49.00,49.25,49.00,49.25,-0.45,3,147300
107/12/22,2000,50.00,50.00,49.80,49.80,+0.55,2,99800
107/12/24,13067,50.00,50.00,49.75,49.75,-0.05,13,652112
107/12/25,6000,49.00,49.00,48.70,49.00,-0.75,5,293700
107/12/26,11000,49.50,49.50,49.00,49.00,0.00,10,541950
107/12/27,10000,49.50,49.50,49.00,49.00,0.00,7,490550
107/12/28,3000,49.05,49.05,49.00,49.00,0.00,2,147050
108/01/02,12,---,---,---,---,---,3,584
108/01/03,14050,48.95,49.00,48.95,49.00,0.00,11,688275
108/01/04,15000,49.00,49.00,49.00,49.00,0.00,10,735000
108/01/07,12000,49.50,49.50,49.05,49.05,+0.05,10,589050
108/01/08,22000,49.50,50.00,49.50,49.50,+0.45,20,1092850
108/01/09,3000,49.60,49.60,49.50,49.50,0.00,3,148600
108/01/10,10066,50.90,50.90,50.00,50.00,+0.50,8,504233
108/01/11,0,---,---,---,---,---,0,0
108/01/14,5000,50.50,50.50,50.50,50.50,+0.50,5,252500
108/01/15,17000,50.00,50.00,50.00,50.00,-0.50,10,850000
108/01/16,41000,50.00,50.00,48.50,49.50,-0.50,20,2025050
108/01/17,7000,48.65,49.50,48.60,49.50,0.00,7,341450
108/01/18,12000,49.55,50.00,49.55,50.00,+0.50,9,596950
108/01/21,5000,49.50,49.60,49.50,49.50,-0.50,4,247700
108/01/22,2050,49.50,49.50,49.50,49.50,0.00,4,101450
108/01/23,12000,49.50,49.50,49.50,49.50,0.00,9,594000
108/01/28,14060,49.50,49.50,49.10,49.10,-0.40,14,694466
108/01/29,4000,49.00,49.00,48.90,49.00,-0.10,4,195800
108/01/30,24000,49.00,49.50,48.85,48.85,-0.15,24,1176600
108/02/11,21000,48.90,49.00,48.85,49.00,+0.15,15,1026950
108/02/12,6090,49.95,50.00,49.40,49.40,+0.40,6,303854
108/02/13,22000,49.65,50.80,49.65,50.80,+1.40,15,1107800
108/02/14,76094,51.30,53.60,51.30,53.60,+2.80,68,3987991
108/02/15,40010,53.50,54.00,53.00,53.00,-0.60,30,2138535
108/02/18,40038,53.50,54.60,52.80,53.60,+0.60,29,2130755
108/02/19,11000,54.60,54.60,52.00,52.20,-1.40,9,579800
108/02/20,18000,52.00,52.80,51.90,52.80,+0.60,16,945900
108/02/21,3000,52.10,52.50,52.10,52.10,-0.70,3,156700
108/02/22,11000,52.40,52.50,52.20,52.20,+0.10,8,575600
108/02/25,5000,53.90,53.90,53.30,53.50,+1.30,5,267800
108/02/26,11000,53.30,53.30,52.30,52.40,-1.10,9,582300
108/02/27,16000,52.40,53.20,52.40,53.00,+0.60,8,847500
108/03/04,11000,53.00,53.00,52.50,52.80,-0.20,8,582200
108/03/05,19027,52.80,52.80,52.30,52.30,-0.50,19,1002319
108/03/06,58000,53.00,54.00,52.50,54.00,+1.70,46,3104400
108/03/07,8000,54.00,54.00,53.30,53.50,-0.50,8,429500
108/03/08,17000,53.50,53.70,53.00,53.70,+0.20,14,904900
108/03/11,16044,50.60,53.60,50.60,53.30,-0.40,15,848796
108/03/12,9038,53.00,53.00,53.00,53.00,-0.30,9,478995
108/03/13,17000,53.80,54.00,53.20,53.20,+0.20,13,915000
108/03/14,21000,53.20,53.90,53.20,53.50,+0.30,16,1126000
108/03/15,12000,53.10,53.20,53.10,53.10,-0.40,11,637500
108/03/18,7026,53.50,53.70,53.20,53.70,+0.60,8,375183
108/03/19,7000,52.30,53.60,52.30,53.30,-0.40,6,372100
108/03/20,17000,53.50,53.50,53.20,53.20,-0.10,14,907400
108/03/21,8000,53.20,53.30,53.20,53.30,+0.10,6,426000
108/03/22,12000,53.50,53.50,53.20,53.20,-0.10,9,639700
108/03/25,26100,54.00,54.50,54.00,54.50,+1.30,25,1415839
108/03/26,19003,54.50,55.50,54.50,55.20,+0.70,19,1041378
108/03/27,46000,54.70,56.70,54.70,56.10,+0.90,40,2571300
108/03/28,20000,56.00,56.60,56.00,56.60,+0.50,18,1126000
108/03/29,31000,56.00,56.60,56.00,56.40,-0.20,25,1747300
108/04/01,46000,57.00,58.20,56.70,57.30,+0.90,34,2642600
108/04/02,21040,57.10,57.40,57.00,57.30,0.00,20,1202204
108/04/03,8000,57.00,57.00,56.50,56.80,-0.50,6,454000
108/04/08,35021,56.90,57.30,56.80,57.00,+0.20,15,1992813
108/04/09,14000,57.50,57.60,57.10,57.20,+0.20,12,802800
108/04/10,36000,54.70,56.10,54.70,55.50,-1.70,30,2001500
108/04/11,26000,55.40,56.00,55.20,55.20,-0.30,19,1446200
108/04/12,24000,56.00,56.10,55.00,55.00,-0.20,18,1336300
108/04/15,17000,56.60,56.90,56.00,56.00,+1.00,14,957300
108/04/16,20000,56.20,56.20,55.30,55.30,-0.70,15,1120800
108/04/17,58000,55.50,55.70,55.20,55.60,+0.30,40,3216000
108/04/18,15000,55.60,55.60,55.30,55.30,-0.30,14,832800
108/04/19,9000,55.50,55.60,55.30,55.40,+0.10,8,499400
108/04/22,45003,56.10,56.30,56.00,56.20,+0.80,35,2526481
108/04/23,26000,56.20,56.80,55.80,55.80,-0.40,24,1458200
108/04/24,33000,57.00,57.00,55.00,55.00,-0.80,31,1837900
108/04/25,31000,55.10,55.10,54.90,55.00,0.00,23,1704500
108/04/26,27000,55.00,55.20,54.90,55.10,+0.10,23,1486800
108/04/29,66003,55.80,56.00,55.40,55.80,+0.70,39,3682481
108/04/30,51000,56.10,56.20,55.90,56.00,+0.20,31,2857500
108/05/02,31155,57.60,57.60,56.40,56.40,+0.40,28,1763100
108/05/03,28837,57.40,57.40,56.60,56.90,+0.50,25,1634720
108/05/06,15103,57.50,57.50,56.90,57.30,+0.40,17,863501
108/05/07,35600,57.10,60.50,57.10,58.00,+0.70,30,2074100
108/05/08,5080,58.80,58.80,57.50,58.40,+0.40,5,296372
108/05/09,210024,56.10,57.90,52.70,53.50,-4.90,150,11376491
108/05/10,24147,53.00,54.50,53.00,54.00,+0.50,22,1305138
108/05/13,12000,55.20,55.20,53.80,54.30,+0.30,11,649200
108/05/14,8129,55.50,55.50,54.00,54.60,+0.30,8,443791
108/05/15,26150,55.30,56.20,54.30,55.00,+0.40,17,1431824
108/05/16,7124,55.50,56.20,55.00,55.70,+0.70,7,394232
108/05/17,26000,55.80,55.80,54.40,55.50,-0.20,19,1432600
108/05/20,15125,55.00,59.60,55.00,56.30,+0.80,15,864975
108/05/21,22125,56.50,57.20,55.00,55.00,-1.30,21,1222287
108/05/22,26000,55.20,55.20,54.50,54.90,-0.10,22,1423300
108/05/23,13100,55.20,55.20,55.10,55.10,+0.20,10,722950
108/05/24,8000,55.60,55.60,54.90,54.90,-0.20,6,440000
108/05/27,43000,55.00,55.10,54.80,54.90,0.00,15,2363600
108/05/28,4000,55.60,55.60,55.00,55.00,+0.10,4,220700
108/05/29,48066,56.20,57.00,56.00,57.00,+2.00,18,2719055
108/05/30,12000,57.60,57.60,56.00,56.00,-1.00,6,675300
108/05/31,6000,56.80,56.80,56.00,56.00,0.00,5,337300
108/06/03,12000,56.60,56.60,56.00,56.00,0.00,6,678600
108/06/04,7000,55.80,55.80,55.50,55.80,-0.20,7,389700
108/06/05,24000,57.20,57.20,55.00,55.50,-0.30,16,1345000
108/06/06,16030,56.50,56.50,56.00,56.50,+1.00,11,902498
108/06/10,116376,62.10,62.10,62.10,62.10,+5.60,100,7226948
108/06/11,370157,68.30,68.30,64.60,65.00,+2.90,267,25011105
108/06/12,91030,65.00,65.00,61.40,62.40,-2.60,78,5703072
108/06/13,50900,60.20,62.50,60.20,62.40,0.00,50,3111119
108/06/14,28032,61.10,61.50,61.00,61.20,-1.20,22,1716058
108/06/17,19000,61.20,61.90,60.80,61.90,+0.70,18,1163300
108/06/18,6000,61.30,61.50,61.00,61.50,-0.40,6,367700
108/06/19,11035,61.20,61.20,61.00,61.00,-0.50,9,673735
108/06/20,20000,60.50,61.00,60.50,61.00,0.00,19,1216900
108/06/21,16000,60.90,61.00,60.30,60.30,-0.70,15,971600
108/06/24,5000,60.30,60.40,60.30,60.40,+0.10,5,301700
108/06/25,8200,60.50,61.50,60.50,60.50,+0.10,9,498019
108/06/26,13000,60.00,61.50,60.00,61.50,+1.00,10,788400
108/06/27,11000,61.00,61.00,60.50,60.50,-1.00,9,667400
108/06/28,9000,60.40,60.40,60.10,60.30,-0.20,9,542200
108/07/01,19000,60.40,62.00,60.40,61.90,+1.60,17,1169600
108/07/02,22000,62.00,62.60,61.70,62.60,+0.70,15,1367500
108/07/03,13000,62.20,62.80,62.10,62.80,+0.20,13,811700
108/07/04,44000,62.90,64.60,62.90,64.30,+1.50,41,2812700
108/07/05,26000,64.30,65.00,62.30,63.40,-0.90,24,1655400
108/07/08,20190,64.00,65.80,64.00,64.60,+1.20,20,1308188
108/07/09,22034,64.20,65.20,64.20,65.00,+0.40,18,1427913
108/07/10,66000,65.00,65.00,61.10,63.50,-1.50,62,4135000
108/07/11,2125,63.00,63.00,63.00,63.00,-0.50,7,133811
108/07/12,1123,63.00,63.00,63.00,63.00,0.00,4,71056
108/07/15,19000,63.00,64.80,62.60,64.30,+1.30,16,1209900
108/07/16,12067,64.70,65.00,64.00,64.00,-0.30,11,775422
108/07/17,5000,63.50,63.50,63.20,63.20,-0.80,5,316900
108/07/18,10000,63.50,64.00,63.50,64.00,+0.80,8,637900
108/07/19,49177,65.40,65.40,64.20,65.30,+1.30,41,3204158
108/07/22,34020,65.30,66.50,65.30,65.70,+0.40,29,2239629
108/07/23,67000,66.90,68.00,66.10,67.20,+1.50,64,4488400
108/07/24,98000,56.50,57.00,54.50,55.50,,78,5456900
108/07/25,35000,55.50,55.80,54.80,55.30,-0.20,33,1938600
108/07/26,5000,55.30,55.30,55.00,55.00,-0.30,4,275300
108/07/29,24060,60.50,60.50,56.80,58.50,+3.50,24,1418500
108/07/30,38060,57.40,58.50,56.10,56.30,-2.20,30,2170438
108/07/31,6000,56.30,56.80,56.30,56.80,+0.50,6,340000
108/08/01,3000,56.70,57.20,56.50,57.20,+0.40,3,170400
108/08/02,17000,56.50,56.50,55.80,55.80,-1.40,13,956100
108/08/05,8000,56.00,56.00,56.00,56.00,+0.20,8,448000
108/08/06,22000,56.10,56.40,56.00,56.40,+0.40,19,1236400
108/08/07,9000,57.10,57.10,56.40,56.50,+0.10,8,510700
108/08/08,5000,56.00,56.00,55.10,55.10,-1.40,5,277600
108/08/12,8000,55.10,57.80,55.10,57.80,+2.70,4,445500
108/08/13,10000,57.10,57.10,55.80,56.00,-1.80,10,561600
108/08/14,7153,56.00,56.10,56.00,56.00,0.00,8,400768
108/08/15,3042,56.00,56.00,56.00,56.00,0.00,5,170368
108/08/16,1000,56.00,56.00,56.00,56.00,0.00,1,56000
108/08/19,3070,56.00,56.00,56.00,56.00,0.00,4,172032
108/08/20,11000,56.00,56.30,55.80,56.10,+0.10,7,616000
108/08/21,30000,56.20,57.90,56.10,57.80,+1.70,29,1710000
108/08/22,6001,57.90,57.90,56.50,57.00,-0.80,7,342258
108/08/23,5100,56.80,56.80,56.20,56.20,-0.80,5,287990
108/08/26,72000,56.20,56.40,55.90,56.00,-0.20,14,4041400
108/08/27,18000,56.20,56.50,56.10,56.10,+0.10,14,1012800
108/08/28,21000,56.20,57.00,56.20,56.20,+0.10,19,1181400
108/08/29,2000,56.20,56.30,56.20,56.30,+0.10,2,112500
108/08/30,23000,57.10,57.10,56.00,56.00,-0.30,16,1296000
108/09/02,8000,56.20,56.20,56.00,56.00,0.00,6,448400
108/09/03,9031,56.90,57.00,56.90,57.00,+1.00,10,514569
108/09/04,7000,57.20,57.20,56.80,56.80,-0.20,7,399700
108/09/05,30800,56.60,56.80,56.00,56.10,-0.70,35,1732900
108/09/06,35046,56.10,56.50,55.80,56.50,+0.40,32,1962876
108/09/09,18688,56.10,56.10,56.00,56.00,-0.50,16,1047228
108/09/10,22653,56.00,56.00,55.90,56.00,0.00,13,1268468
108/09/11,25236,53.00,55.90,53.00,55.90,-0.10,22,1368598
108/09/12,14300,55.60,55.60,54.70,54.70,-1.20,15,787660
108/09/16,600,---,---,---,---,---,3,32818
108/09/17,21747,54.20,54.20,53.50,53.80,-0.90,23,1171688
108/09/18,404,---,---,---,---,---,3,21856
108/09/19,10036,54.50,55.50,54.50,55.50,+1.50,11,553180
108/09/20,0,---,---,---,---,---,0,0
108/09/23,7100,55.00,55.00,54.20,54.20,-1.20,12,386600
108/09/24,17440,54.20,55.80,54.20,54.80,+0.60,13,953168
108/09/25,5830,55.00,55.60,55.00,55.60,+0.80,11,322947
108/09/26,1230,55.50,55.50,55.50,55.50,-0.10,3,68127
108/09/27,16666,57.00,57.00,55.00,55.00,-0.50,14,935496
108/10/01,6400,54.50,54.50,54.50,54.50,-0.50,7,348880
108/10/02,1000,54.00,54.00,54.00,54.00,-0.50,1,54000
108/10/03,6276,53.00,54.90,53.00,54.90,+0.90,9,337542
108/10/04,0,---,---,---,---,---,0,0
108/10/07,6000,54.90,54.90,54.00,54.00,-0.90,5,324900
108/10/08,400,---,---,---,---,---,2,20000
108/10/09,5024,53.70,54.40,53.70,54.40,+0.10,6,272393
108/10/14,10090,54.40,55.00,54.40,54.40,0.00,10,551050
108/10/15,30600,55.00,55.40,55.00,55.00,+0.60,17,1685600
108/10/16,200,---,---,---,---,---,2,10000
108/10/17,4036,54.90,54.90,54.50,54.90,0.00,5,220794
108/10/18,7190,54.80,54.90,54.80,54.80,-0.10,5,394112
108/10/21,13600,54.80,55.00,54.80,54.80,0.00,10,745680
108/10/22,2100,54.60,54.70,54.60,54.70,-0.10,3,114770
108/10/23,6593,55.00,55.00,54.80,55.00,+0.30,11,362947
108/10/24,2074,55.20,55.40,55.20,55.40,+0.40,6,114654
108/10/25,3024,55.00,55.00,55.00,55.00,-0.40,5,166368
108/10/28,5000,55.00,55.40,55.00,55.40,+0.40,5,276600
108/10/29,8098,55.40,55.50,55.00,55.00,-0.40,8,447490
108/10/30,102,---,---,---,---,---,1,5589
108/10/31,2200,55.00,55.80,55.00,55.80,+0.60,4,121900
108/11/01,10300,55.00,55.00,55.00,55.00,-0.80,10,566500
108/11/04,40300,60.40,60.40,55.20,55.40,+0.40,38,2338659
108/11/05,10205,55.50,55.70,55.50,55.60,+0.20,9,567198
108/11/06,31380,55.80,56.00,55.60,56.00,+0.40,17,1750390
108/11/07,7000,55.70,55.70,55.50,55.50,-0.50,6,388700
108/11/08,10850,55.50,55.50,55.10,55.30,-0.20,11,600594
108/11/11,42000,54.80,54.80,53.60,54.50,-0.80,30,2274900
108/11/12,54309,54.50,56.50,54.50,55.00,+0.50,20,2985849
108/11/13,15400,55.00,55.00,54.00,55.00,0.00,13,837799
108/11/14,6180,54.90,54.90,54.80,54.80,-0.20,9,338873
108/11/15,9000,53.00,54.20,53.00,54.10,-0.70,8,481600
108/11/18,22000,54.40,55.00,54.20,54.30,+0.20,18,1196600
108/11/19,3000,54.30,54.30,54.30,54.30,0.00,3,162900
108/11/20,1200,54.30,54.30,54.30,54.30,0.00,2,65060
108/11/21,0,---,---,---,---,---,0,0
108/11/22,13036,54.00,54.20,53.70,53.70,-0.60,12,703151
108/11/25,4581,56.00,56.00,55.90,55.90,+2.20,4,256817
108/11/26,7200,54.30,55.00,54.20,55.00,-0.90,7,394500
108/11/27,0,---,---,---,---,---,0,0
108/11/28,4006,54.00,54.80,53.50,54.80,0.00,5,216828
108/11/29,3010,54.00,54.00,53.70,53.70,-1.10,3,161950
108/12/02,6130,53.80,53.80,53.60,53.60,-0.10,7,329268
108/12/03,180,---,---,---,---,---,1,9000
108/12/04,4781,54.30,54.90,54.00,54.90,+1.20,5,260186
108/12/05,3000,54.10,54.10,54.10,54.10,-0.80,2,162300
108/12/06,18000,54.00,54.00,53.10,53.60,-0.50,13,965200
108/12/09,15594,53.60,53.90,53.00,53.00,-0.60,13,830279
108/12/10,5040,53.40,53.80,53.40,53.70,+0.70,6,270268
108/12/11,24006,53.00,53.10,52.80,53.10,-0.60,17,1272021
108/12/12,2007,53.20,53.40,53.20,53.40,+0.30,4,106976
108/12/13,4200,53.40,54.00,53.40,54.00,+0.60,6,226219
108/12/16,5900,53.10,53.10,53.00,53.00,-1.00,7,312549
108/12/17,24040,53.40,53.40,53.00,53.00,0.00,13,1275220
108/12/18,4200,54.00,54.00,53.50,53.60,+0.60,5,225320
108/12/19,3040,53.20,53.20,53.20,53.20,-0.40,4,161747
108/12/20,5004,53.80,53.90,53.10,53.10,-0.10,6,267712
108/12/23,15000,53.10,53.20,53.10,53.20,+0.10,5,796600
108/12/24,7040,53.30,53.40,53.20,53.40,+0.20,8,375028
108/12/25,0,---,---,---,---,---,0,0
108/12/26,9000,53.40,53.40,53.20,53.20,-0.20,4,480000
108/12/27,10300,53.20,53.30,53.20,53.30,+0.10,8,548290
108/12/30,7000,53.20,53.30,53.20,53.30,0.00,3,372900
108/12/31,24000,53.30,53.30,52.60,52.60,-0.70,15,1273000
109/01/02,360,---,---,---,---,---,3,19152
109/01/03,13412,53.20,53.50,52.80,53.00,+0.30,12,713342
109/01/06,7280,53.40,53.50,53.40,53.50,+0.50,8,389140
109/01/07,8050,53.10,53.20,53.10,53.20,-0.30,5,427635
109/01/08,2000,53.20,53.80,53.20,53.80,+0.60,2,107000
109/01/09,1000,53.80,53.80,53.80,53.80,0.00,1,53800
109/01/10,11161,53.80,54.20,53.30,54.20,+0.40,12,598994
109/01/13,3000,54.80,54.80,54.50,54.50,+0.30,3,163800
109/01/14,5200,54.40,54.40,54.00,54.00,-0.50,5,281700
109/01/15,1184,54.20,54.20,54.20,54.20,+0.20,2,64136
109/01/16,1001,54.30,54.30,54.30,54.30,+0.10,2,54354
109/01/17,2205,55.00,55.00,54.80,54.80,+0.50,5,120930
109/01/20,6516,54.50,54.80,54.20,54.20,-0.60,11,354466
109/01/30,31000,53.50,53.50,52.50,53.20,-1.00,16,1644300
109/01/31,9000,54.00,54.50,54.00,54.50,+1.30,6,488000
109/02/03,6000,53.00,54.00,53.00,54.00,-0.50,3,321000
109/02/04,25439,53.70,54.60,53.70,54.50,+0.50,19,1375806
109/02/05,9600,54.80,54.80,53.70,53.70,-0.80,11,521520
109/02/06,7000,54.40,54.40,54.20,54.30,+0.60,7,380100
109/02/07,10000,54.30,54.30,53.80,54.00,-0.30,5,541300
109/02/10,3000,54.00,54.00,54.00,54.00,0.00,3,162000
109/02/11,2000,54.90,54.90,54.80,54.80,+0.80,2,109700
109/02/12,5054,55.10,55.10,55.00,55.00,+0.20,7,278264
